ID	Title	Type de document	Dernière modification	Cote	Datum	Auteur	Destinataire	Résumé
2803		Brief	2022-10-25 14:01:31	CdS/02_2/067	1816-09-18	Salm, Constance de	Prous, Henry	CdS fügt dem Brief Stoff für Louise P.bei, die wiederum ihr Stoff schicken soll. Essenseinladung der CdS, bevor sie nach Köln fährt. Kirchweih bei Dyck. Freude der CdS über Ruhe in Frankreich durch Vernunft der Regierung. Freude über einen gelungenen Abend. Jugendlicher Geist der CdS. Brief an P. letztes Schriftstück ihrer langen Schreibtätigkeit des Tages. Rechnungsangelegenheiten.
2804		Brief	2022-10-19 09:00:30		1816-10-03	Salm, Constance de	Prous, Henry	Rückkehr der CdS und Nachfrage nach dem Wohlergehen Ps und seiner Familie. Sehen und gesehen werden der CdS während ihres Aufenthalts in Alfter. Rührung der CdS über die dortige feierliche Begrüßung. Melancholisches Glockenläuten. Einladung des P. nach Dyck.
2805		Brief	2022-10-27 13:09:40	C06/S43/147-148	1816-10-30	Salm, Constance de	Prous, Henry	Beteuerung der CdS, dass sie trotz der Vergnügungen (angenehme Gesellschaft, Theater, attraktiver Deutschlehrer) in Aachen P. nicht vergisst. Angenehmer Aufenthalt der CdS bei Hompesch. Genesung des SRD durch die Aachener Bäder. Vergnügen der CdS. Zusammentreffen der CdS mit Belderbusch und dessen Berichte aus Paris. Misshandlung der Mme Gai durch betrunkene Soldaten auf dem Land. Geplante Abreise gegen den 6. [November]. Mangelnde Konzentration durch Musik unter dem Fenster der CdS.
2806		Brief	2022-10-27 13:09:40	C06/S43/149-150	1816-11-22	Salm, Constance de	Prous, Henry	Vergnügen der CdS in Aachen. Freunde der CdS als Geschworene (?). Grüße des Hompesch. Angenehme Gesellschaft in Aachen. Fehlen des P. Einladung. Aufmachung der CdS. CdS hat ein Fräulein aus Aachen auf Probe mitgenommen. Stimmung des SRD.
2807		Brief	2022-10-27 12:40:43	C06/S43/151-152	1816-11-30	Salm, Constance de	Prous, Henry	Schlechter Gesundheitszustand und Verfassung der CdS. Nicht eingehaltenes Versprechen des SRD, nur einen Tag nach Düsseldorf zu kommen. Eine Frau hätte ihr Versprechen gehalten. Rat der CdS an P., nicht über eine einen jungen Mann betreffende Geschichte zu reden, weil er sonst aussagen müsste. Verschwinden eines jungen Mannes, diesbezüglicher Zeitungsbericht und Belohnung, Ansturm von Zeugen. Erschrecken, dass so etwas in einem ruhigen Land möglich ist. Kampfesdrang eines Majors und Wunsch, einen anderen Major wiederzusehen. Beileidsschreiben an Mme Ginguené. Niedergeschlagenheit der CdS. Eventueller Besuch des Comte Mosti, der aus England zurückgekehrt ist. Mögliche Vermietung des Pariser Hauses an einen Engländer und Misstrauen der CdS. Nachtruhe der CdS.
2808		Brief	2022-10-19 09:00:30	C06/S43/155-156	1816-12-00	Salm, Constance de	Prous, Henry	Warten der CdS auf einen Brief des P. Zeitvertreib des P. Geplantes Abendessen mit verschiedenen Nachbarn anlässlich des Namenstags der CdS. CdS besteht auf Anwesenheit des P. Reisepläne der CdS. Verkauf oder Vermietung ihres Pariser Hauses. Wiedersehen mit ihrer Familie. Reisevorbereitungen und Verpflichtungen der CdS. Bitte um Neuigkeiten über den Major. Deutscher Abschiedsgruß.
2809		Brief	2022-10-19 09:00:30	C06/S43/159-160	1816-12-13	Salm, Constance de	Prous, Henry	Unwohlsein des P. bei einem Besuch auf Schloss Dyck. Wiedersehen mit CdS vor ihrer Abreise und regelmäßige Briefe des P. während ihrer Abwesenheit. Nachfrage nach dem „Major”. Verrücktheiten der vergangenen Abendgesellschaften.
2810		Brief	2022-10-27 10:14:55	C06/S43/161-162	1816-12-17	Salm, Constance de	Prous, Henry	Schlechter Gesundheitszustand der CdS als Grund für verspätete Antwort. Unnötige Entschuldigung des P. Rheuma der CdS und des P. Begeisterung der CdS für „Manon Lescaut” und Wunsch, ähnliche Novellen zu schreiben. Unterbrechung ihrer Arbeit aufgrund von Schmerzen. Bücherausleihe der CdS an P. Abreise der CdS.
2811		Brief	2022-10-19 09:00:30	C06/S43/165	1817-01-28	Salm, Constance de	Prous, Henry	Voraussichtlicher Wegzug des P. (Tod des Schwagers) und Bedauern der CdS. Freude der CdS, ihre Freunde wiedergefunden zu haben, und Betonung, wie wichtig ihr diese sind. Bitte um Neuigkeiten und Einladung der CdS.
2812		Brief	2022-10-26 07:01:57	C06/S43/166-168	1817-03-16	Salm, Constance de	Prous, Henry	Trauer über den Wegzug des P. Traurige Existenz auf dem Land. Leben der CdS im finstersten Teil Deutschlands und negative Beschreibung der Bewohner. Berechtigte Klagen der CdS, die ihr meistens erst rückblickend bewusst werden. Aufenthalt Ps bei seiner Familie in einer Gegend, die an Frankreich erinnert. Schwierigkeit, sich im Alter umzugewöhnen. Bitte um regelmäßige Fortsetzung der Korrespondenz. Gemeinsames Erleben eines harten und langen Winters in Dyck. Kontrast zu ihrem Pariser Leben. Zuneigung ihrer Freunde und Glück. Rückkehr und Aussicht, ihren Mann wiederzusehen. Schwierigkeit, ihr Haus zu verkaufen oder zu vermieten. Vergnügungen der CdS mit ihren Freunden in Paris, nur SRD fehlt zu ihrem Glück. Bitte der CdS um Vertraulichkeit: P. soll nicht in Deutschland erzählen, wie glücklich CdS in Paris ist, um nicht ihre Bemühungen der letzten 3 [Abschrift: 15] Jahre zu zerstören. Einladung des P. nach Frankreich. Bedürfnis nach Gewohnheit. Zwei Absagen bezüglich des Hauses der CdS. Neuigkeiten von der Tochter der CdS.
